UNIXTime,Data,Time,Radiation,Temperature,Pressure,Humidity,WindDirection(Degrees),Speed,TimeSunRise,TimeSunSet
1.69E+09,6/2/2023 20:40,20:40:19,1.23,24.17,3.39,12.7,94.73,95.94,6:13:00,18:13:00
1.69E+09,6/2/2023 20:35,20:35:19,1.21,23.49,3.08,12.45,94.76,95.98,6:13:00,18:13:00
1.69E+09,6/2/2023 20:30,20:30:18,1.25,22.69,2.98,12.27,94.77,95.99,6:13:00,18:13:00
1.69E+09,6/2/2023 20:25,20:25:20,1.23,21.79,3.14,12.02,94.76,95.98,6:13:00,18:13:00
1.69E+09,6/2/2023 20:20,20:20:23,1.23,20.91,3.05,11.84,94.73,95.96,6:13:00,18:13:00
1.69E+09,6/2/2023 20:15,20:15:20,1.26,20.19,2.64,11.66,94.7,95.93,6:13:00,18:13:00
1.69E+09,6/2/2023 20:10,20:10:22,1.17,19.65,2.11,11.54,94.68,95.91,6:13:00,18:13:00
1.69E+09,6/2/2023 20:05,20:05:22,1.22,19.37,1.57,11.29,94.69,95.92,6:13:00,18:13:00
1.69E+09,6/2/2023 20:00,20:00:18,1.22,19.24,0.91,10.99,94.71,95.95,6:13:00,18:13:00
1.69E+09,6/3/2023 19:55,19:55:23,1.22,19.34,0.38,11.35,94.76,96,6:13:00,18:13:00
1.69E+09,6/3/2023 19:50,19:50:22,1.24,21.3,0.89,11.47,94.83,96.05,6:13:00,18:13:00
1.69E+09,6/3/2023 19:45,19:45:25,1.25,24.08,0.69,10.62,94.89,96.1,6:13:00,18:13:00
1.69E+09,6/3/2023 19:40,19:40:22,1.19,27.65,0.86,10.01,94.92,96.12,6:13:00,18:13:00
1.69E+09,6/3/2023 19:35,19:35:22,1.19,29.69,1.12,10.07,94.93,96.12,6:13:00,18:13:00
1.69E+09,6/3/2023 19:30,19:30:20,1.23,31.1,1.42,10.31,94.92,96.1,6:13:00,18:13:00
1.69E+09,6/3/2023 19:25,19:25:21,1.19,32.21,1.68,10.44,94.88,96.06,6:13:00,18:13:00
1.69E+09,6/3/2023 19:20,19:20:20,1.23,33.05,1.87,10.56,94.83,96.01,6:13:00,18:13:00
1.69E+09,6/3/2023 19:15,19:15:22,1.22,33.53,2.06,10.68,94.77,95.94,6:13:00,18:13:00
1.69E+09,6/3/2023 19:10,19:10:24,1.24,33.77,2.27,10.74,94.72,95.9,6:13:00,18:13:00
1.69E+09,6/3/2023 19:05,19:05:20,1.24,33.8,2.58,10.74,94.7,95.87,6:13:00,18:13:00
1.69E+09,6/3/2023 19:00,19:00:24,1.23,33.33,2.91,10.68,94.7,95.88,6:13:00,18:13:00
1.69E+09,6/3/2023 18:55,18:55:19,1.23,32.26,3.35,10.8,94.73,95.91,6:13:00,18:13:00
1.69E+09,6/3/2023 18:50,18:50:24,1.24,29.49,3.66,13.79,94.79,95.98,6:13:00,18:13:00
1.69E+09,6/3/2023 18:45,18:45:19,1.23,26.51,3.59,14.65,94.85,96.06,6:13:00,18:13:00
1.69E+09,6/3/2023 18:40,18:40:21,1.21,25.65,3.15,14.4,94.91,96.12,6:13:00,18:13:00
1.69E+09,6/3/2023 18:35,18:35:21,1.24,25.42,2.49,13.92,94.92,96.13,6:13:00,18:13:00
1.69E+09,6/3/2023 18:30,18:30:23,1.18,25.51,1.46,13.12,94.89,96.1,6:13:00,18:13:00
1.69E+09,6/3/2023 18:25,18:25:19,1.52,25.13,0.42,12.76,94.87,96.08,6:13:00,18:13:00
1.69E+09,6/3/2023 18:20,18:20:23,5.07,24.58,0.27,12.51,94.85,96.06,6:13:00,18:13:00
1.69E+09,6/3/2023 18:15,18:15:21,6.16,23.65,0.86,12.33,94.82,96.04,6:13:00,18:13:00
1.69E+09,6/3/2023 18:10,18:10:52,6.63,22.52,1.58,12.76,94.81,96.03,6:13:00,18:13:00
1.69E+09,6/3/2023 18:05,18:05:22,10.96,21.41,2.22,12.88,94.81,96.03,6:13:00,18:13:00
1.69E+09,6/3/2023 18:00,18:00:22,19.42,20.7,2.54,12.76,94.83,96.06,6:13:00,18:13:00
1.69E+09,6/4/2023 17:55,17:55:22,27.14,20.88,2.55,13,94.86,96.09,6:13:00,18:13:00
1.69E+09,6/4/2023 17:50,17:50:19,33.75,23.79,2.14,12.21,94.9,96.12,6:13:00,18:13:00
1.69E+09,6/4/2023 17:45,17:45:22,49.57,26.77,1.16,11.47,94.95,96.15,6:13:00,18:13:00
1.69E+09,6/4/2023 17:40,17:40:22,59.62,29.98,0.57,11.29,94.97,96.16,6:13:00,18:13:00
1.69E+09,6/4/2023 17:35,17:35:38,87.23,32.08,0.43,11.23,94.98,96.16,6:13:00,18:13:00
1.69E+09,6/4/2023 17:30,17:30:25,109.93,33.48,0.42,11.11,94.95,96.12,6:13:00,18:13:00
1.69E+09,6/4/2023 17:25,17:25:25,130.82,34.58,0.5,10.93,94.89,96.07,6:13:00,18:13:00
1.69E+09,6/4/2023 17:20,17:20:25,160.52,35.32,0.67,10.8,94.82,95.99,6:13:00,18:13:00
1.69E+09,6/4/2023 17:15,17:15:20,191.37,35.73,0.9,10.68,94.76,95.93,6:13:00,18:13:00
1.69E+09,6/4/2023 17:10,17:10:20,207.05,35.85,1.22,10.62,94.7,95.87,6:13:00,18:13:00
1.69E+09,6/4/2023 17:05,17:05:22,240.99,35.69,1.61,10.56,94.66,95.83,6:13:00,18:13:00
1.69E+09,6/4/2023 17:00,17:00:24,274.83,35.12,1.92,10.44,94.64,95.81,6:13:00,18:13:00
1.69E+09,6/4/2023 16:55,16:55:25,300.94,34.03,2.18,10.62,94.64,95.82,6:13:00,18:13:00
1.69E+09,6/4/2023 16:50,16:50:22,322.71,31.42,2.46,14.16,94.69,95.87,6:13:00,18:13:00
1.69E+09,6/4/2023 16:45,16:45:38,346.59,28.42,2.66,15.62,94.75,95.94,6:13:00,18:13:00
1.69E+09,6/4/2023 16:40,16:40:20,364.18,27.81,2.23,14.65,94.78,95.98,6:13:00,18:13:00
1.69E+09,6/4/2023 16:35,16:35:41,368.35,27.84,1.37,13.73,94.8,96,6:13:00,18:13:00
1.69E+09,6/4/2023 16:30,16:30:22,362.84,27.78,0.45,12.76,94.77,95.97,6:13:00,18:13:00
1.69E+09,6/4/2023 16:25,16:25:21,423.9,27.22,0.68,12.02,94.74,95.94,6:13:00,18:13:00
1.69E+09,6/4/2023 16:20,16:20:25,457.69,25.86,1.36,12.57,94.68,95.88,6:13:00,18:13:00
1.69E+09,6/4/2023 16:15,16:15:23,511.38,24.81,1.76,12.76,94.61,95.82,6:13:00,18:13:00
1.69E+09,6/4/2023 16:10,16:10:22,566.83,24.13,1.81,12.57,94.57,95.78,6:13:00,18:13:00
1.69E+09,6/4/2023 16:05,16:05:20,187.96,23.56,1.81,12.76,94.55,95.76,6:13:00,18:13:00
1.69E+09,6/4/2023 16:00,16:00:20,310.59,22.73,2.08,13,94.56,95.77,6:13:00,18:13:00
1.69E+09,6/5/2023 15:55,15:55:22,230.26,22.29,2.49,13.12,94.59,95.81,6:13:00,18:13:00
1.69E+09,6/5/2023 15:50,15:50:21,623.31,23.88,2.6,12.21,94.64,95.86,6:13:00,18:13:00
1.69E+09,6/5/2023 15:45,15:45:22,312.1,26.38,2.06,10.56,94.71,95.91,6:13:00,18:13:00
1.69E+09,6/5/2023 15:40,15:40:24,803.72,29.49,1.11,10.5,94.74,95.93,6:13:00,18:13:00
1.69E+09,6/5/2023 15:35,15:35:19,671.97,31.98,0.54,10.8,94.75,95.94,6:13:00,18:13:00
1.69E+09,6/5/2023 15:30,15:30:20,670.32,33.9,1.16,11.05,94.73,95.91,6:13:00,18:13:00
1.69E+09,6/5/2023 15:25,15:25:21,679.73,35.21,1.67,11.23,94.68,95.85,6:13:00,18:13:00
1.69E+09,6/5/2023 15:20,15:20:24,687.62,36.08,2.04,11.35,94.63,95.79,6:13:00,18:13:00
1.69E+09,6/5/2023 15:15,15:15:18,697.66,36.56,2.3,11.35,94.57,95.74,6:13:00,18:13:00
1.69E+09,6/5/2023 15:10,15:10:21,716.27,36.67,2.4,11.11,94.52,95.68,6:13:00,18:13:00
1.69E+09,6/5/2023 15:05,15:05:23,744.43,36.41,2.33,11.11,94.48,95.64,6:13:00,18:13:00
1.69E+09,6/5/2023 15:02,15:02:10,612.34,35.73,2.19,10.8,94.46,95.63,6:13:00,18:13:00
1.69E+09,6/5/2023 14:55,14:55:21,760.9,34.61,1.99,11.05,94.46,95.63,6:13:00,18:13:00
1.69E+09,6/5/2023 14:50,14:50:21,773.71,32.4,1.76,14.95,94.5,95.68,6:13:00,18:13:00
1.69E+09,6/5/2023 14:45,14:45:18,790.08,30.54,1.75,15.62,94.55,95.74,6:13:00,18:13:00
1.69E+09,6/5/2023 14:40,14:40:23,804.28,29.07,2.21,15.56,94.61,95.8,6:13:00,18:13:00
1.69E+09,6/5/2023 14:35,14:35:24,818.82,27.58,2.61,15.26,94.64,95.83,6:13:00,18:13:00
1.69E+09,6/5/2023 14:30,14:30:19,855.63,26.24,2.95,14.71,94.66,95.86,6:13:00,18:13:00
1.69E+09,6/5/2023 14:25,14:25:20,875.16,24.78,3.61,14.22,94.66,95.86,6:13:00,18:13:00
1.69E+09,6/5/2023 14:20,14:20:21,867.9,23.41,4,13.67,94.62,95.84,6:13:00,18:13:00
1.69E+09,6/5/2023 14:15,14:15:27,872.67,22.33,4.1,13.24,94.59,95.8,6:13:00,18:13:00
1.69E+09,6/5/2023 14:10,14:10:20,890.52,21.52,4.1,12.88,94.56,95.79,6:13:00,18:13:00
1.69E+09,6/5/2023 14:00,14:00:19,911.06,21,3.95,12.45,94.58,95.8,6:13:00,18:13:00
1.69E+09,6/5/2023 13:55,13:55:20,925.16,20.66,3.75,11.9,94.6,95.83,6:13:00,18:13:00
1.69E+09,6/6/2023 13:50,13:50:20,933.15,21.1,3.61,11.78,94.64,95.86,6:13:00,18:13:00
1.69E+09,6/6/2023 13:45,13:45:21,942.73,24.33,3.29,10.56,94.69,95.9,6:13:00,18:13:00
1.69E+09,6/6/2023 13:40,13:40:21,955.74,27.62,2.43,8.73,94.74,95.94,6:13:00,18:13:00
1.69E+09,6/6/2023 13:35,13:35:21,959.47,31.71,1.17,8.42,94.76,95.94,6:13:00,18:13:00
1.69E+09,6/6/2023 13:30,13:30:20,970.22,33.98,0.97,8.85,94.75,95.93,6:13:00,18:13:00
1.69E+09,6/6/2023 13:25,13:25:18,974.87,35.43,1.49,8.91,94.73,95.89,6:13:00,18:13:00
1.69E+09,6/6/2023 13:20,13:20:20,985.22,36.48,1.86,8.91,94.69,95.86,6:13:00,18:13:00
1.69E+09,6/6/2023 13:15,13:15:25,992.19,37.17,2.13,8.97,94.65,95.81,6:13:00,18:13:00
1.69E+09,6/6/2023 13:10,13:10:22,997.26,37.45,2.36,8.85,94.59,95.74,6:13:00,18:13:00
1.69E+09,6/6/2023 13:05,13:05:22,1004.6,37.43,2.52,8.79,94.53,95.69,6:13:00,18:13:00
1.69E+09,6/6/2023 13:00,13:00:19,1007.96,37.2,2.69,8.79,94.48,95.64,6:13:00,18:13:00
1.69E+09,6/6/2023 12:55,12:55:22,1013.59,36.63,2.83,8.85,94.46,95.62,6:13:00,18:13:00
1.69E+09,6/6/2023 12:50,12:50:20,1020.55,35.5,2.81,9.28,94.45,95.61,6:13:00,18:13:00
1.69E+09,6/6/2023 12:45,12:45:19,1025.63,32.78,2.55,13.73,94.48,95.65,6:13:00,18:13:00
1.69E+09,6/6/2023 12:40,12:40:20,1029.41,30.55,2.22,14.47,94.5,95.69,6:13:00,18:13:00
1.69E+09,6/6/2023 12:35,12:35:20,1034.46,29.8,2.03,13.85,94.52,95.7,6:13:00,18:13:00
1.69E+09,6/6/2023 12:30,12:30:19,1033.54,28.87,1.86,13.61,94.52,95.71,6:13:00,18:13:00
1.69E+09,6/6/2023 12:25,12:25:21,1039.06,28.1,1.33,13.24,94.52,95.71,6:13:00,18:13:00
1.69E+09,6/6/2023 12:20,12:20:20,1039.67,27.22,0.81,12.94,94.49,95.69,6:13:00,18:13:00
1.69E+09,6/6/2023 12:15,12:15:20,1037.76,26.24,0.57,12.57,94.44,95.64,6:13:00,18:13:00
1.69E+09,6/6/2023 12:10,12:10:24,1039.52,25.59,0.73,11.66,94.38,95.59,6:13:00,18:13:00
1.69E+09,6/6/2023 12:05,12:05:20,1040.14,24.83,1.23,10.99,94.37,95.57,6:13:00,18:13:00
1.69E+09,6/6/2023 12:00,12:00:27,1039.22,23.59,1.75,10.93,94.39,95.6,6:13:00,18:13:00
1.69E+09,6/6/2023 11:55,11:55:20,1035.99,22.65,1.89,10.8,94.42,95.64,6:13:00,18:13:00
1.69E+09,6/7/2023 11:50,11:50:20,1033.49,22.55,1.76,11.05,94.48,95.7,6:13:00,18:13:00
1.69E+09,6/7/2023 11:45,11:45:18,1029.15,25.11,1.27,10.56,94.56,95.76,6:13:00,18:13:00
1.69E+09,6/7/2023 11:40,11:40:20,1025.51,28.23,0.31,9.34,94.64,95.83,6:13:00,18:13:00
1.69E+09,6/7/2023 11:35,11:35:19,1023.78,31.08,0.65,9.16,94.68,95.86,6:13:00,18:13:00
1.69E+09,6/7/2023 11:30,11:30:22,1017.57,33.06,1.3,9.09,94.68,95.86,6:13:00,18:13:00
1.69E+09,6/7/2023 11:25,11:25:20,1013.93,34.44,1.78,9.03,94.68,95.85,6:13:00,18:13:00
1.69E+09,6/7/2023 11:20,11:20:21,1009.36,35.44,2.06,9.22,94.66,95.83,6:13:00,18:13:00
1.69E+09,6/7/2023 11:15,11:15:22,1002.89,36.12,2.34,9.28,94.62,95.79,6:13:00,18:13:00
1.69E+09,6/7/2023 11:11,11:11:56,999.19,36.37,2.64,9.4,94.58,95.74,6:13:00,18:13:00
1.69E+09,6/7/2023 11:05,11:05:22,987.02,36.38,2.68,9.64,94.54,95.7,6:13:00,18:13:00
1.69E+09,6/7/2023 11:00,11:00:23,981.66,36.22,2.59,9.58,94.51,95.67,6:13:00,18:13:00
1.69E+09,6/7/2023 10:55,10:55:21,973.79,35.73,2.61,9.64,94.5,95.66,6:13:00,18:13:00
1.69E+09,6/7/2023 10:50,10:50:22,964.46,34.65,2.75,10.19,94.5,95.67,6:13:00,18:13:00
1.69E+09,6/7/2023 10:45,10:45:20,957.02,31.86,2.91,14.65,94.54,95.72,6:13:00,18:13:00
1.69E+09,6/7/2023 10:40,10:40:22,946.32,29.05,3.01,15.56,94.57,95.76,6:13:00,18:13:00
1.69E+09,6/7/2023 10:35,10:35:22,933.08,28.01,2.87,15.2,94.6,95.79,6:13:00,18:13:00
1.69E+09,6/7/2023 10:30,10:30:21,926.79,27.22,2.27,15.08,94.62,95.82,6:13:00,18:13:00
1.69E+09,6/7/2023 10:25,10:25:19,915.84,26.83,1.1,14.77,94.63,95.83,6:13:00,18:13:00
1.69E+09,6/7/2023 10:20,10:20:19,901.65,26.32,0.29,14.4,94.61,95.82,6:13:00,18:13:00
1.69E+09,6/7/2023 10:15,10:15:23,899.53,25.16,0.95,14.53,94.58,95.79,6:13:00,18:13:00
1.69E+09,6/7/2023 10:10,10:10:20,878.76,23.81,1.58,14.83,94.56,95.77,6:13:00,18:13:00
1.69E+09,6/7/2023 10:05,10:05:23,867.98,22.83,1.97,14.83,94.56,95.77,6:13:00,18:13:00
1.69E+09,6/7/2023 10:00,10:00:25,855.89,22.19,2.24,14.65,94.58,95.8,6:13:00,18:13:00
1.69E+09,6/7/2023 9:55,9:55:21,841.52,21.76,2.19,14.34,94.61,95.83,6:13:00,18:13:00
1.69E+09,6/8/2023 9:50,9:50:22,830.19,22.18,1.88,14.47,94.65,95.87,6:13:00,18:13:00
1.69E+09,6/8/2023 9:45,9:45:19,815.1,24.76,1.2,13.85,94.7,95.91,6:13:00,18:13:00
1.69E+09,6/8/2023 9:40,9:40:20,799.29,27.43,0.72,13.18,94.74,95.94,6:13:00,18:13:00
1.69E+09,6/8/2023 9:35,9:35:25,785.6,29.9,0.7,13,94.78,95.97,6:13:00,18:13:00
1.69E+09,6/8/2023 9:30,9:30:21,768.39,32.43,0.63,12.27,94.79,95.97,6:13:00,18:13:00
1.69E+09,6/8/2023 9:25,9:25:19,754.06,34.2,1.03,11.9,94.78,95.95,6:13:00,18:13:00
1.69E+09,6/8/2023 9:20,9:20:22,738.75,35.58,1.55,11.66,94.73,95.9,6:13:00,18:13:00
1.69E+09,6/8/2023 9:15,9:15:23,722.23,36.52,2.03,11.47,94.66,95.82,6:13:00,18:13:00
1.69E+09,6/8/2023 9:10,9:10:23,706.41,37.02,2.37,11.41,94.59,95.75,6:13:00,18:13:00
1.69E+09,6/8/2023 9:05,9:05:21,686.3,37.29,2.36,11.35,94.53,95.69,6:13:00,18:13:00
1.69E+09,6/8/2023 9:00,9:00:26,669.11,37.3,2.25,11.23,94.46,95.62,6:13:00,18:13:00
1.69E+09,6/8/2023 8:55,8:55:21,652.51,36.97,2.3,10.86,94.42,95.57,6:13:00,18:13:00
1.69E+09,6/8/2023 8:50,8:50:23,634.99,36.04,2.42,11.05,94.38,95.54,6:13:00,18:13:00
1.69E+09,6/8/2023 8:45,8:45:27,617.87,33.4,2.51,15.26,94.38,95.56,6:13:00,18:13:00
1.69E+09,6/8/2023 8:40,8:40:21,597.41,30.98,2.43,15.75,94.39,95.57,6:13:00,18:13:00
1.69E+09,6/8/2023 8:35,8:35:22,578.24,30.28,2.02,15.08,94.4,95.59,6:13:00,18:13:00
1.69E+09,6/8/2023 8:30,8:30:21,559.23,29.73,1.37,14.65,94.41,95.6,6:13:00,18:13:00
1.69E+09,6/8/2023 8:25,8:25:21,538.41,29,0.83,14.34,94.38,95.57,6:13:00,18:13:00
1.69E+09,6/8/2023 8:20,8:20:23,519.16,28.12,0.75,14.16,94.35,95.54,6:13:00,18:13:00
1.69E+09,6/8/2023 8:15,8:15:21,499.21,27.1,0.91,14.16,94.3,95.49,6:13:00,18:13:00
1.69E+09,6/8/2023 8:10,8:10:19,478.48,26.08,0.98,14.1,94.26,95.46,6:13:00,18:13:00
1.69E+09,6/8/2023 8:05,8:05:18,458.27,25.43,1.03,13.67,94.25,95.45,6:13:00,18:13:00
1.69E+09,6/8/2023 8:00,8:00:24,438.05,24.91,1.4,13.18,94.26,95.46,6:13:00,18:13:00
1.69E+09,6/8/2023 7:55,7:55:19,416.28,24.45,1.89,12.7,94.28,95.48,6:13:00,18:13:00
1.69E+09,6/9/2023 7:50,7:50:19,395.14,24.26,2.2,13.18,94.31,95.52,6:13:00,18:13:00
1.69E+09,6/9/2023 7:45,7:45:20,373.7,26.96,2.12,12.08,94.35,95.55,6:13:00,18:13:00
1.69E+09,6/9/2023 7:40,7:40:19,352.56,29.91,1.58,10.56,94.38,95.57,6:13:00,18:13:00
1.69E+09,6/9/2023 7:30,7:30:21,305.78,32.51,0.81,10.62,94.4,95.58,6:13:00,18:13:00
1.69E+09,6/9/2023 7:25,7:25:21,278.29,35.25,0.78,10.68,94.4,95.57,6:13:00,18:13:00
1.69E+09,6/9/2023 7:20,7:20:28,251.51,37.32,1.62,10.68,94.39,95.55,6:13:00,18:13:00
1.69E+09,6/9/2023 7:15,7:15:24,222.48,38.55,2.17,10.68,94.35,95.5,6:13:00,18:13:00
1.69E+09,6/9/2023 7:10,7:10:22,164.44,39.38,2.47,10.62,94.29,95.44,6:13:00,18:13:00
1.69E+09,6/9/2023 7:05,7:05:23,21.36,39.84,2.57,10.68,94.21,95.36,6:13:00,18:13:00
1.69E+09,6/9/2023 7:00,7:00:25,20,39.84,2.46,10.62,94.16,95.3,6:13:00,18:13:00
1.69E+09,6/9/2023 6:55,6:55:23,19.24,39.48,2.21,10.68,94.11,95.25,6:13:00,18:13:00
1.69E+09,6/9/2023 6:50,6:50:19,18.33,38.78,1.96,10.68,94.07,95.21,6:13:00,18:13:00
1.69E+09,6/9/2023 6:45,6:45:20,17.31,37.54,1.84,11.11,94.05,95.21,6:13:00,18:13:00
1.69E+09,6/9/2023 6:40,6:40:22,16.09,34.9,1.93,15.2,94.07,95.23,6:13:00,18:13:00
1.69E+09,6/9/2023 6:35,6:35:19,14.73,32.19,2.07,16.72,94.1,95.27,6:13:00,18:13:00
1.69E+09,6/9/2023 6:30,6:30:20,12.53,31.44,1.78,15.81,94.13,95.3,6:13:00,18:13:00
1.69E+09,6/9/2023 6:25,6:25:21,9.86,31.16,1.18,15.01,94.14,95.32,6:13:00,18:13:00
1.69E+09,6/9/2023 6:20,6:20:20,7.7,30.7,0.54,14.28,94.13,95.3,6:13:00,18:13:00
1.69E+09,6/9/2023 6:15,6:15:22,6.17,30.1,0.47,13.24,94.09,95.27,6:13:00,18:13:00
1.69E+09,6/9/2023 6:10,6:10:23,4.32,28.82,1.21,13.12,94.04,95.22,6:13:00,18:13:00
1.69E+09,6/9/2023 6:05,6:05:20,2.34,27.11,1.96,13.92,93.99,95.18,6:13:00,18:13:00
1.69E+09,6/9/2023 6:00,6:00:24,1.47,25.84,2.44,13.85,93.97,95.17,6:13:00,18:13:00
1.69E+09,6/9/2023 5:55,5:55:25,1.21,25.1,2.73,13.37,93.99,95.19,6:13:00,18:13:00
1.69E+09,6/9/2023 5:50,5:50:21,1.23,24.43,3,12.88,94.04,95.24,6:13:00,18:13:00
1.69E+09,6/10/2023 5:45,5:45:21,1.24,24.29,3.14,13.12,94.09,95.3,6:13:00,18:13:00
1.69E+09,6/10/2023 5:40,5:40:21,1.23,27.15,2.95,11.78,94.15,95.34,6:13:00,18:13:00
1.69E+09,6/10/2023 5:35,5:35:26,1.21,30.33,2.16,9.77,94.21,95.39,6:13:00,18:13:00
1.69E+09,6/10/2023 5:30,5:30:27,1.21,33.27,1.08,9.16,94.25,95.42,6:13:00,18:13:00
1.69E+09,6/10/2023 5:25,5:25:22,1.22,35.8,0.27,9.16,94.27,95.43,6:13:00,18:13:00
1.69E+09,6/10/2023 5:20,5:20:24,1.22,38.01,1.06,9.03,94.27,95.42,6:13:00,18:13:00
1.69E+09,6/10/2023 5:15,5:15:21,1.2,39.17,1.63,9.22,94.23,95.38,6:13:00,18:13:00
1.69E+09,6/10/2023 5:10,5:10:22,1.2,39.88,2.06,9.58,94.18,95.33,6:13:00,18:13:00
1.69E+09,6/10/2023 5:05,5:05:20,1.16,40.19,2.3,10.07,94.12,95.27,6:13:00,18:13:00
1.69E+09,6/10/2023 5:00,5:00:22,1.15,40.14,2.26,10.38,94.06,95.2,6:13:00,18:13:00
1.69E+09,6/10/2023 4:55,4:55:25,1.18,39.89,2.2,10.38,93.99,95.13,6:13:00,18:13:00
1.69E+09,6/10/2023 4:50,4:50:25,1.18,39.25,2.26,10.38,93.93,95.07,6:13:00,18:13:00
1.69E+09,6/10/2023 4:45,4:45:20,1.18,37.89,2.29,11.41,93.9,95.04,6:13:00,18:13:00
1.69E+09,6/10/2023 4:40,4:40:21,1.19,35.19,2.02,16.72,93.91,95.07,6:13:00,18:13:00
1.69E+09,6/10/2023 4:35,4:35:19,1.18,33.77,1.56,16.48,93.95,95.12,6:13:00,18:13:00
